"Nombre", "Autor", "ISBN-10", "ISBN-13", "Editorial", "Páginas", "Imagen"
"La Galería de las Maravillas (Versión española, Libro 1): Un mundo mágico para niños y jóvenes sobre pintura, arte y fantasía con muchas criaturas fantásticas. (Magora) (Spanish Edition)","Marc Remus",,,"Misty Moon Books / Marc Remus (26 Septiembre 2021)",,
"40 Relatos de Fantasía y Ciencia Ficción: Libro benéfico (Hospital Amic de la Fundación Sant Joan de Déu) (Spanish Edition)","Grupo LLEC","1976927781","978-1976927782","Independently published (18 Enero 2018)","328 páginas","https://images-na.ssl-images-amazon.com/images/I/51Uel+w+JCL._SX322_BO1,204,203,200_.jpg"
"Inmortales: Colección Especial De Vampiros En Español (4 En 1) Libros de Novelas de Vampiros: Las mejores historias de Suspense, Romance y Fantasía ... Romántica en Español (Spanish Edition)",,"1711884219","978-1711884219","Independently published (26 Noviembre 2019)","389 páginas","https://images-na.ssl-images-amazon.com/images/I/51iKCpplyLL._SX331_BO1,204,203,200_.jpg"
"Los mapas de Kinegea: Libro juvenil de aventuras y fantasía (a partir de 12 años) (Spanish Edition)",,,"979-8564437547","Independently published (13 Noviembre 2020)","262 páginas","https://images-na.ssl-images-amazon.com/images/I/411TULFMzdL._SX322_BO1,204,203,200_.jpg"
"House of Earth and Blood: Crescent City, Book 1","Sarah J. Maas",,,,,
"Anne of Green Gables, Complete 8-Book Box Set",,"0553609416","978-0553609417","Starfire; Reprint edición (6 Octubre 1998)",,"https://images-na.ssl-images-amazon.com/images/I/51Nb+qI4fbL._SX258_BO1,204,203,200_.jpg"
"Chain of Iron (2) (The Last Hours)",,"1481431900","978-1481431903","Margaret K. McElderry Books (2 Marzo 2021)","688 páginas","https://images-na.ssl-images-amazon.com/images/I/514LaBle4CL._SX406_BO1,204,203,200_.jpg"
"Todas las hadas del reino [All the Fairies in the Kingdom]","Laura Gallego",,,,,
"Warriors: A Vision of Shadows Box Set: Volumes 1 to 6",,"0062945831","978-0062945839","HarperCollins; Reprint edición (29 Octubre 2019)","2144 páginas","https://images-na.ssl-images-amazon.com/images/I/51QqzZRpCfL._SX258_BO1,204,203,200_.jpg"
"Harry Potter Books 1-7 Special Edition Boxed Set","Brian Selznick","1338218395","978-1338345728","Arthur A. Levine Books; Special edición (28 Agosto 2018)",,"https://images-na.ssl-images-amazon.com/images/I/51liWqkRHgL._SY297_BO1,204,203,200_.jpg"
